类型,id,标签,回答id,回答点赞数,回答评论数,回答感谢数,回答观看数,回答创建时间,问题id,问题题目,问题回答数,问题关注数,评论数,创建时间
answer,12_1574824962.862,美食,860381526,228,18,60,9075,1571294197,299771921,有哪些特别美味的秋季时令美食？,18,85,1,1540348570
answer,13_1574824962.784,娱乐,775955553,1424,309,254,951989,1564987706,288257130,作为圈内人，你了解的娱乐圈到底有多乱？,1706,18253,21,1533286744
answer,14_1574824962.393,生活,870257224,342,38,94,95845,1572049315,294213474,女生有男朋友之后才知道的事情有哪些？,14628,129885,96,1536648965
answer,15_1574824962.207,整形外科,909615255,14,12,6,2080,1574674932,20776172,整形削骨有后遗症吗？,339,4055,16,1360764463
answer,16_1574824962.362,二手交易,856174296,875,187,158,568459,1570985401,310269740,在闲鱼捡漏，是一种怎么样的体验？,669,3141,3,1548420098
answer,17_1574824962.472,英雄联盟（LoL）,902942245,2329,189,130,291605,1574273543,355519232,宝蓝平时是怎么打 Rank 的，那么菜是怎么上分的？,103,145,9,1573557955
answer,12_1574824962.204,电影,843096473,7279,1602,512,1024289,1570032271,49457949,一个演员的演技能烂到什么程度？,14653,89563,174,1470819189
answer,13_1574824962.381,Adobe Photoshop,774409138,11143,198,11034,385745,1564886876,62211230,怎么系统地自学Photoshop？,355,50816,16,1499598430
answer,14_1574824962.829,花茶,818359107,7161,123,5062,327589,1568018001,23897775,女生喝什么花茶比较好?,90,3644,1,1400945792
answer,15_1574824962.998,名言,694961137,92886,2066,27349,2737330,1558785851,326064331,鲁迅先生写过什么值得细品的句子？,1162,27622,42,1558778870
answer,16_1574824962.558,学习,776109137,6374,51,4015,209225,1564994520,315958918,哔哩哔哩(bilibili)上有哪些值得一看的纪录片？,1069,89950,22,1552574617
answer,17_1574824962.832,女生,911650450,14,5,1,2013,1574783732,20318045,怎么暗示和勾引男生？,859,16987,42,1340790835
answer,12_1574824962.719,梗（网络用语）,881021912,19267,726,816,1526148,1572830326,339753020,B 站为什么不抵制朱一旦？,1193,3819,199,1565420544
answer,13_1574824962.166,未婚生子,897577816,81,12,13,53557,1573968410,274913337,未婚先孕的姑娘，最后都怎样了?,4720,16308,141,1524758109
answer,14_1574824962.215,生活,852720864,4948,708,2621,869421,1570727646,19864351,化妆品有哪些不为人知的秘密?,421,59491,35,1317193825
answer,15_1574824962.601,天天向上（综艺）,874255731,36,5,7,15691,1572338818,341448442,王一博和天天向上其他主持人关系如何？,101,403,17,1566215652
answer,16_1574824962.821,生活方式,774526594,1992,45,721,122944,1564893025,334730677,有哪些看一眼就想拿来发说说的句子?,1860,51677,28,1563003067
answer,17_1574824962.129,设计,907006054,2313,360,331,425217,1574517903,337047368,你买过哪些便宜到尖叫的好东西？,794,88245,40,1564132938
answer,13_1574824963.73,个人情感咨询,901346186,15106,0,934,1119811,1574181425,351858266,用小号测试男朋友，他上当了。我提出分手他哭了，我该怎么办？,3062,4032,282,1571684465
answer,14_1574824963.349,王一博,808195805,2662,313,626,99298,1567157575,40514168,如何评价王一博？,1690,5601,18,1455794915
answer,15_1574824963.832,童年,899364420,3880,478,361,703985,1574070989,353417993,你小时候做过什么可以吹嘘一辈子的事情？,2128,6056,14,1572512086
answer,16_1574824963.644,法律,897861126,890,79,115,246531,1573982866,54883718,历史上有哪些丧心病狂的案件？,984,55025,40,1484709314
answer,17_1574824963.916,分手,878409262,3,0,0,902,1572622487,353417362,为什么很多人在有过类似「分手」的经验后，都会换个新头发？,190,416,0,1572511817
answer,12_1574824963.16,谢娜（主持人）,841644631,1313,202,83,153281,1569915886,308384808,谢娜为什么这么招人讨厌？,17439,45868,313,1546902851
answer,13_1574824963.190,心理学,673024647,37582,1363,21362,1533168,1557039712,280272233,当一对情侣无话可说的时候，该怎么做？,3694,102791,156,1528444688
answer,14_1574824963.276,英语四级,902126544,140,7,181,12951,1574233403,35803100,如何在短时间的考过四级？,15,227,0,1442771475
answer,15_1574824963.373,明星,783147421,6349,1444,974,4172023,1565451016,313976664,娱乐圈内怎么评价杨幂的？,246,908,6,1551316429
answer,16_1574824963.121,小说,221382469,19772,465,5570,1315881,1503836016,63651462,有哪些你听过惊艳的句子？,12580,152606,50,1502275064
answer,17_1574824963.800,生活方式,871811950,137,79,20,29607,1572166193,316022130,怎么看清一个代购的真假？,520,1423,5,1552629466
answer,12_1574824964.772,美食,900966855,2009,577,148,211564,1574162550,349334714,你们最想吃到的食物是什么？,415,1350,6,1570322802
answer,13_1574824964.340,心理学,782035507,8784,2167,813,3877012,1565374340,23593683,女人出轨有哪些征兆？,715,8234,37,1398772427
answer,14_1574824964.58,保险,834140664,41769,2579,17428,2350394,1569309051,35659389,是否有交五险一金的必要？,547,17106,29,1442381187
answer,15_1574824964.621,母婴,864215444,1707,139,1767,168303,1571595074,350267804,有什么怀孕时期一定要买的东西吗？,122,4014,2,1570815810
answer,16_1574824964.221,小说,779631871,24877,1965,2498,2547837,1565234485,325330685,你有遇到过灵异的事件吗？,3851,15019,32,1558400898
answer,17_1574824964.293,生活,799865944,57843,804,31221,2573148,1566552397,24245141,有哪些心理学小技巧可以运用在生活中？,437,117434,27,1403496035
answer,12_1574824964.909,手机,846744413,1693,208,143,195187,1570327406,312849874,你手机里有舍不得删的照片或视频吗？,8149,47384,108,1550552658
answer,13_1574824964.835,法律,809933386,4672,408,1144,829384,1567317243,319863335,你见过的最虐心的案子是什么？,4401,64855,85,1555071277
answer,14_1574824964.709,生活,828439910,15591,347,8232,595566,1568857488,54244634,你认为有哪些越早明白越好的人生道理？,5403,125252,44,1483179126
answer,15_1574824964.531,生育,769547974,11973,1246,2154,2563970,1564554084,46896932,你是怎样发现自己怀孕的？,4979,11978,23,1464541211
answer,17_1574824964.34,电影,860695082,17128,386,7665,1700312,1571311271,38181067,哪句台词你永远忘不了？,11988,83956,230,1449212001
answer,13_1574824964.983,两性关系,861030842,7562,3250,586,1742952,1571339166,302124455,你们身边有舔狗舔到最后应有尽有的例子吗？,1966,11753,81,1541989707
answer,14_1574824964.980,魔道祖师（小说）,798974893,7846,830,4307,268519,1566488014,289130597,魏无羡死了的十三年蓝忘机在干啥？,143,1426,5,1533784966
answer,17_1574824964.7,表情贴图,769866578,6614,104,1025,173436,1564568290,325071577,你见过的最喜欢的表情包是什么？,191,745,0,1558242148
answer,12_1574824965.469,女生,864659611,3850,468,460,589798,1571636739,295512496,有哪些男生有女朋友之后才知道的事情？,7891,79003,49,1537500730
answer,13_1574824965.662,大学生活,867270927,9138,284,7080,289783,1571820614,298523503,大学有必要很努力地学习吗？,2764,30387,82,1539522902
answer,14_1574824965.683,北京,901199752,9,56,2,11404,1574174025,287071299,帝都生活成本有多高？,237,1425,2,1532618346
answer,15_1574824965.969,X玖少年团,769771355,1732,377,259,191593,1564563780,335255655,请问肖战在哇唧唧哇真的像粉丝说的如此不受待见，处境如此艰难吗？,98,245,2,1563274024
answer,16_1574824965.474,日本,903229767,719,328,82,285671,1574303338,305864788,日本女孩子真的那么「听话」吗？,437,3818,97,1544891156
answer,17_1574824965.96,文章,849469073,3988,157,432,738735,1570519438,45165351,你见过哪些惊艳的作文开头？,409,35215,4,1462115826
answer,12_1574824965.460,化妆品,798470008,2850,278,444,1583930,1566460586,284712468,大牌专柜店里的柜姐工资有多高？她们态度不好的底气是什么？,511,1637,30,1531235086
answer,13_1574824965.151,心理学,784532923,17632,1952,1512,2279448,1565545780,279255504,为什么现在部分年轻人生育的欲望越来越低？,9830,40630,366,1527688241
answer,14_1574824965.322,教育,859075066,85402,5428,12179,2402124,1571200279,347473813,如果你的兄弟姐妹不在了（其配偶还在），留下个孩子，你会养吗?,3518,6180,155,1569249746
answer,16_1574824965.801,帅哥,865779847,874,293,249,60019,1571719722,350420862,肖战真的很帅吗?,346,462,3,1570896305
answer,17_1574824965.558,华人,852396874,8533,2621,718,1033141,1570708103,314609751,马来西亚华人的处境有多尴尬？,198,1480,34,1551713093
answer,12_1574824965.248,情感,873404060,1814,287,193,444632,1572275062,28010305,相爱的男朋友去世是什么感受？,1346,10376,52,1423144974
answer,13_1574824965.803,王一博,832215992,544,31,53,80790,1569155820,333056173,王一博和肖战关系到底怎么样?,1027,3445,40,1562129539
answer,14_1574824965.458,生活,892855217,10200,379,2806,492830,1573633802,266090769,有哪些越早知道越好的人生经验？,6684,167410,105,1516778169
answer,15_1574824965.472,母婴,902221239,9475,798,806,678424,1574236880,320505054,有多少孩子是产检没问题，出生才发现的？,1286,15133,171,1555478343
answer,16_1574824965.980,美食,842595408,281,17,25,110691,1569999262,293948154,为什么呷哺呷哺不如以前评价好了？,549,737,18,1536464484
answer,17_1574824965.432,薛兆丰,897101931,219,137,14,44910,1573924395,355596397,奇葩说第六季许吉如和薛教授这一对新人组合的出现，是偶然还是马东的精心布局？,14,26,3,1573609856
answer,12_1574824966.698,摄影,776616078,846,98,173,60459,1565021860,36692468,怎么用手机拍星空？,160,5929,3,1445339570
answer,13_1574824966.683,饮食,764819539,20563,1382,21670,1945228,1564234676,319414415,瘦的人一日三餐都吃什么？,2399,12460,36,1554800312
answer,14_1574824966.924,生活,772964080,21658,1952,17238,2381021,1564772468,266090769,有哪些越早知道越好的人生经验？,6685,167410,105,1516778169
answer,15_1574824966.933,上海,790591091,516,25,192,17324,1565925582,54171974,去上海玩，有哪些经典的旅游线路？,51,2182,0,1482992779
answer,16_1574824966.341,奢侈品,851032131,310,141,80,483208,1570614359,306429011,穿A货进奢侈品店，店员看得出来吗？,744,2986,13,1545322036
answer,12_1574824966.758,视频,814352713,12193,449,613,894242,1567674688,312189209,有什么超级搞笑的视频值得分享？,156,2416,0,1550109951
answer,14_1574824966.480,身高,858542044,9943,560,7513,465406,1571150319,300513432,21岁男生才165还有机会高吗？,303,3439,21,1540818578
answer,15_1574824966.49,家庭,735600598,90843,29908,39652,3289468,1562082553,33319361,有一对很恶心的父母是什么感受？,6174,18862,127,1437735296
answer,16_1574824966.786,夜店,906143560,74,53,19,96813,1574475394,351703265,你在酒吧见过哪些令你震惊的事？,217,1600,0,1571603248
answer,17_1574824966.550,天天向上（综艺）,881479572,2226,193,443,119157,1572850843,349068248,王一博在未来几年里会离开《天天向上》吗？,155,238,5,1570162382
answer,12_1574824967.342,技术,870637154,7282,1057,1303,2749648,1572073050,267067521,有哪些上了技校才知道的事？,2307,12150,43,1518436013
answer,13_1574824967.71,影视作品,803485817,6359,293,433,199826,1566819977,342850642,《陈情令》中，魏婴为何百般悲惨仍不黑化？而苏涉瑶妹为何早早黑化？,152,419,16,1566819255
answer,17_1574824967.278,王一博,853883483,424,93,100,36600,1570805514,347969292,剧版《陈情令》魏无羡真的喜欢蓝湛吗？,108,283,0,1569507657
answer,12_1574824967.708,明星,796337420,75757,5490,14477,3469671,1566313358,341235205,如果你是杨颖，平时是怎么和黄晓明交流的？,350,2487,9,1566116423
answer,13_1574824967.197,婚姻,901745588,912,519,96,537050,1574218576,23598221,为什么有部分妻子会反对丈夫做亲子鉴定？,3121,6373,245,1398820324
answer,14_1574824967.878,城市,850437442,1867,829,181,180022,1570587615,66858441,郑州能成为国家中心城市，郑州的优势在哪里？郑州真的是一个被低估的城市吗？,122,893,5,1508342067
answer,15_1574824967.49,魔道祖师（小说）,876278707,100,16,33,9835,1572489451,290057118,蓝忘机有多爱魏无羡？,513,3747,18,1534142112
answer,16_1574824967.254,传销,875327262,40,11,5,3352,1572418387,353224981,如何看待南京中脉被列严重失信违法企业名单？,2,6,0,1572415104
answer,12_1574824968.62,三国演义（书籍）,901171704,795,131,58,67056,1574172661,20396806,老版《三国演义》和新版《三国》（电视剧）哪个好？,715,2286,36,1343962245
answer,13_1574824968.211,心理学,813497686,41425,4955,4702,4739493,1567605736,342087623,人变渣是一瞬间的事情吗?,2447,9498,35,1566447112
answer,14_1574824968.889,医疗,830374344,36576,1712,6158,4120628,1568992217,265259044,医院里有哪些潜规则？,597,21200,22,1515373965
answer,15_1574824968.351,贷记卡,813780321,395,526,72,215017,1567644106,286327269,那些欠网贷不还的人，现在怎么样了？,721,3028,9,1532225112
answer,16_1574824968.112,销售,894042385,725,192,99,401329,1573716075,312629628,为什么有些卖家在闲鱼卖不出东西？,4112,14800,86,1550401703
answer,17_1574824968.304,悬疑,835230541,3840,1520,323,881707,1569394085,294042134,有哪些让你细思恐极的事件？,7982,39828,37,1536533213
answer,12_1574824968.801,编程,770293097,29534,5622,3999,3569755,1564594333,264331588,黑客可以厉害到什么程度？,1457,55128,139,1513702516
answer,13_1574824968.31,生活,897190166,4759,346,430,853235,1573945916,335946791,你正在经历怎样的婚姻生活？,4814,19690,22,1563614643
answer,15_1574824968.883,丽江旅游,862784174,18602,1559,745,804413,1571482719,64156121,云南丽江的旅游体验真的像网上流传得那么不堪吗？,1421,4055,40,1503151959
answer,16_1574824968.595,明朝,884383406,29,0,2,5384,1573037105,276198851,为什么朱元璋把首都设在南京？,105,624,7,1525663932
answer,17_1574824968.406,王一博,825573622,275,86,89,17250,1568626380,340515769,看完陈情令缓不过来怎么办?,260,372,0,1565767439
answer,12_1574824968.596,学习,805140816,10452,210,13211,498661,1566940240,339550319,大学生应该如何度过大学生活？,216,2973,2,1565330408
answer,13_1574824968.614,壁纸图片,799986104,17749,175,16507,811701,1566559076,339473990,有哪些一眼惊艳的句子/壁纸？,1250,26178,4,1565282358
answer,14_1574824968.821,衣服,828857894,11505,390,9668,615493,1568879188,50536485,怎样快速学会穿搭和找到自己的风格？,317,22749,10,1473530032
answer,17_1574824968.606,女孩,823869612,9105,1129,733,2413975,1568480996,296166690,你见过最没见过世面的女孩子是什么样子的？,9123,31058,311,1537949050
answer,12_1574824969.960,女孩,789453702,66542,2819,11364,3857068,1565850996,296166690,你见过最没见过世面的女孩子是什么样子的？,9123,31058,311,1537949050
answer,13_1574824969.856,人际交往,828544018,2189,295,172,325627,1568862170,313239352,你见过最恶心的亲戚是怎样的？,4243,11307,13,1550817255
answer,14_1574824969.43,罗振宇,898880025,46,7,1,8713,1574050969,356313081,如何看待罗振宇回奇葩说辩手说：“你才做知识付费，你们全家都是在做知识付费”?,26,36,0,1573986310
answer,15_1574824969.812,减肥,818947369,1208,4,709,127823,1568079399,317869815,现在110斤怎么样一个月瘦到90斤呢？,769,15585,37,1553775406
answer,16_1574824969.261,腾讯,888615015,10921,1010,720,1028761,1573349368,334154594,为什么感觉网易游戏的质量普遍比腾讯好却离腾讯差距越来越大？,1060,3153,56,1562687089
answer,12_1574824969.304,电影,908189902,6,5,1,1222,1574595956,343581096,你有没有因为一句台词，而记住一部电影？,746,3290,5,1567157036
answer,13_1574824969.420,英语,894436717,1481,68,1225,45931,1573735675,64985067,英语基础很差怎么过四级？,147,3610,8,1504692455
answer,14_1574824969.145,阅读,654980436,47966,1272,24562,2974980,1555550174,281637180,有哪些句子是真正写到你的心里去了？,13540,210859,48,1529417062
answer,15_1574824969.358,创业,666859359,5694,166,1462,361503,1556504002,313622793,有哪些道理是你毕业多年后才明白的？,3126,94483,50,1551084490
answer,17_1574824969.785,生活,856810798,214,165,31,152227,1571038684,345260615,顺产的妈妈们，你们的产房阴影是什么？,134,356,0,1568044911
answer,12_1574824970.745,明星,854349836,7469,1370,745,2117230,1570852015,47711848,为什么演员明道不红了？,285,663,14,1466603646
answer,13_1574824970.820,梦,891415606,5307,1410,516,1662210,1573543704,343993432,梦里梦到的电话号码到底打不打？,740,1735,27,1567399944
answer,14_1574824970.218,时间管理,894704445,8131,370,1480,275623,1573753905,52178718,25 岁做什么，可在 5 年后受益匪浅？,3943,233953,94,1477974166
answer,17_1574824970.516,历史,861579089,7262,714,535,1001450,1571382238,23701356,你认为毛泽东最好的一句诗词是什么？,1734,13321,42,1399594488
answer,12_1574824970.701,幽默回答,899715668,502,69,16,60799,1574089443,308662400,你见过哪些「以为是个青铜，结果是个王者」的视频或图片？,2717,80903,50,1547104859
answer,13_1574824970.709,夫妻,904428340,1045,309,124,714076,1574356311,349336654,婚后夫妻睡一个被窝么？,3131,7340,73,1570324253
answer,14_1574824970.455,生活,812827590,10717,60,9990,301333,1567565668,311808583,有哪些语文作文能用到的万能句？,97,7394,0,1549839580
answer,16_1574824970.220,娱乐,818212483,7298,467,1090,199441,1568009820,277857143,肖战怎么突然火起来了？,1066,2989,82,1526745395
answer,12_1574824970.220,体育,327650349,97474,5589,19668,6253627,1519529553,267410992,你觉得运动员什么时刻真的很了不起？,968,9771,10,1519124733
answer,13_1574824970.854,调查类问题,786506778,2609,458,419,2682739,1565674854,281447893,你曾经做过最羞耻的事是什么？,12624,36685,123,1529299331
answer,14_1574824970.842,农村,859382895,489,69,63,306894,1571216227,263953798,中国农村什么让你感到最恐怖？,22633,108241,348,1513047083
answer,15_1574824970.47,主持人,875315926,312,57,27,77342,1572417845,64783268,董卿和现在很多主持人的根本区别在哪里？,30,99,2,1504311691
answer,16_1574824970.939,创业,665134940,14548,409,6515,632600,1556357113,313622793,有哪些道理是你毕业多年后才明白的？,3126,94483,50,1551084490
answer,17_1574824970.54,减肥,873397293,548,98,36,179465,1572274660,277361699,男人在乎女人胖吗？,14596,44968,175,1526438353
answer,12_1574824971.596,电影,878521136,1615,460,244,865968,1572633615,315064424,你因为哪个片段而追了一整部剧？,2835,23241,22,1552018957
answer,13_1574824971.165,英语,842527372,2548,119,1535,102064,1569994487,348084694,在雅思中你明白了哪些规则后，分数便开始直线飙升？,79,9135,6,1569577355
answer,14_1574824971.89,爱情,873474474,3506,380,1325,269137,1572279590,21367156,如何让男朋友更爱自己？,252,5361,10,1374427107
answer,15_1574824971.342,生活,889571559,436,100,77,36442,1573412866,313020218,人可以极简主义到什么程度？,407,10649,20,1550657936
answer,17_1574824971.988,家庭,839726465,1302,450,114,425742,1569744620,298459697,婚礼被亲戚毁了，怎么办？,1129,4989,235,1539492242
answer,12_1574824971.145,调查类问题,895944477,3372,343,203,73210,1573839023,278631207,有哪些视频一看就能治愈不开心？,848,20505,6,1527261626
answer,13_1574824971.858,学习,829193097,4052,297,3888,193827,1568900016,50337668,有哪些给专科生的建议？,1527,26688,37,1472991571
answer,14_1574824971.310,壁纸图片,571602599,200721,5802,57762,9005343,1547197435,299205851,有什么美得不可方物的壁纸？,6688,141723,35,1539957406
answer,15_1574824971.966,生活,899599135,473,82,87,533136,1574083334,323640622,情侣第一次睡在一起什么感觉？,3514,15937,26,1557398813
answer,16_1574824971.757,投资,897781076,159,0,30,109141,1573978811,311382617,你们都是怎么存钱的？,5608,66193,68,1549462108
answer,17_1574824971.441,壁纸图片,888770436,3126,98,767,555553,1573358014,339473990,有哪些一眼惊艳的句子/壁纸？,1250,26178,4,1565282358
answer,12_1574824971.584,销售,907076625,776,498,90,515519,1574521240,34863290,女销售，被客户暗示开房怎么办？,364,1801,37,1440119365
answer,13_1574824971.620,历史,886868678,1721,530,342,90460,1573206058,52931466,有什么关于河北的冷知识？,602,5810,12,1479899800
answer,14_1574824971.312,魔道祖师（小说）,793858259,9683,851,2793,257687,1566148342,317715215,魔道祖师谁最悲哀？,402,1069,8,1553682442
answer,15_1574824971.69,贷记卡,857415132,168,265,30,61679,1571068903,286327269,那些欠网贷不还的人，现在怎么样了？,721,3028,9,1532225112
answer,16_1574824971.644,美食,807214080,10294,711,700,1670331,1567082433,27029591,外国人是怎么看中国菜的？,955,5552,35,1418290275
answer,17_1574824971.216,旅行,899567829,1056,701,123,398825,1574081555,340882059,有什么你去了韩国才知道的事？,390,4312,0,1565935698
answer,12_1574824972.15,幽默回答,809780885,11076,1849,615,1129028,1567306778,308662400,你见过哪些「以为是个青铜，结果是个王者」的视频或图片？,2717,80903,50,1547104859
answer,13_1574824972.305,减肥,772950266,570,438,213,183780,1564769766,319425534,你们是用什么方法瘦下来的？,683,5177,6,1554805554
answer,14_1574824972.494,心理学,735650967,6704,1185,1614,254084,1562086506,305533266,缺爱的家庭会培养出什么样的孩子？,5718,44527,85,1544619462
answer,15_1574824972.226,留学,911880869,0,1,0,396,1574816316,27479057,为什么现在有些研究生想退学？,1878,20862,85,1420725904
answer,16_1574824972.705,小说,869050888,114156,14217,52299,2821366,1571963516,349076349,当霸道总裁文里出现沙雕女主，会是怎样的情景？,413,28913,22,1570166274
answer,17_1574824972.368,支付宝,867976401,158,131,28,148891,1571883264,351571558,支付宝转账5000元，转错人了， 打电话联系对方，对方关机了，该如何要回钱？,33,43,3,1571538360
answer,12_1574824972.514,健身,823901886,194,45,57,36964,1568485919,345509939,身高183cm 体重67kg，腿部力量较弱，如何练习腿部力量以及扣篮？,28,75,1,1568187456
answer,13_1574824972.437,恋爱,899144401,575,18,64,155477,1574062272,29209271,一起床就亲吻的情侣，是如何解决口臭问题的？,73,249,41,1427852780
answer,14_1574824972.674,支付宝,811136182,3976,294,1956,268372,1567416435,265812960,支付宝好医保系列值不值的买呢？,53,1931,0,1516297453
answer,15_1574824972.758,时间管理,620378704,3208,153,1353,591778,1552354012,52178718,25 岁做什么，可在 5 年后受益匪浅？,3943,233953,94,1477974166
answer,16_1574824972.340,笑话,862733360,8383,197,1159,1745485,1571479330,269323749,谁能给我讲一个瞬间就想笑的笑话？,2183,56281,52,1521611498
answer,12_1574824972.87,投资,837094685,664,107,174,59882,1569547807,271338955,用 20~30 年还房贷，或者说买房是件愚蠢的事情吗？,1936,16577,125,1523035940
answer,13_1574824972.854,秘密,897209711,347,100,62,391497,1573948879,334431544,你发现过上司的哪些秘密？,2493,21689,32,1562835884
answer,15_1574824972.854,女性特权主义,790989621,11825,519,607,429806,1565943538,330392781,女朋友一直给我强调她是女的，一直要给我灌输女权至上，我该怎么反驳她，并让她意识到这种问题？,2022,4186,194,1561040516
answer,12_1574824973.982,生活,853088652,2277,396,663,826361,1570763533,294213474,女生有男朋友之后才知道的事情有哪些？,14628,129885,96,1536648965
answer,13_1574824973.928,萝莉,817467861,4738,205,394,531789,1567944830,324800490,为何现在街上的「巨型洛丽塔」越来越多？,1024,2811,196,1558077785
answer,14_1574824973.831,失业,800592206,416,167,77,185811,1566615028,54962217,失业三年是什么体验？,972,14724,26,1484895346
answer,15_1574824973.600,坐月子,898559129,139,169,12,77798,1574038638,356285539,月子期间你们都是怎样熬过来的？,28,45,1,1573974596
answer,16_1574824973.102,后宫·甄嬛传（电视剧）,834818958,30,18,5,12317,1569372901,30499188,《甄嬛传》中有哪些细思恐极的细节？,3967,25150,8,1432028733
answer,17_1574824973.634,女生,898338058,18,40,0,2773,1574006499,323669867,女生向男生告白被拒绝是什么感觉？,2718,9333,30,1557411473
answer,12_1574824973.622,幽默回答,835898354,10968,1747,784,431711,1569456149,308662400,你见过哪些「以为是个青铜，结果是个王者」的视频或图片？,2717,80903,50,1547104859
answer,13_1574824973.504,推荐,902055606,5257,158,902,177470,1574230799,28946385,你们用过最好看的头像是什么？,1614,17209,9,1426982912
answer,14_1574824973.285,网络贷款,836791228,112,214,14,56924,1569508098,319637158,网贷的危害有多大？,4328,12954,66,1554947636
answer,16_1574824973.437,游戏,820142784,58,73,7,36292,1568171809,344575973,《英雄联盟》低端局有哪些「代表性」错误？,446,887,12,1567687959
answer,17_1574824973.885,化妆,911816372,4,3,1,939,1574812509,352336978,想入手第一只MAC口红，黄黑皮素颜选哪个色号比较好看?,33,32,0,1571926205
answer,12_1574824973.447,谢娜（主持人）,805959149,705,216,134,686658,1566990998,308384808,谢娜为什么这么招人讨厌？,17439,45867,313,1546902851
answer,13_1574824973.361,美,835680102,18203,543,15059,1361556,1569421534,311499979,有没有什么习惯可以改变脸型？,128,7595,1,1549569529
answer,14_1574824973.670,情感,911738344,11,10,2,3428,1574790982,58662264,什么瞬间让你下决心分手了？,25250,72203,61,1492498142
answer,15_1574824973.76,学习,824448978,3123,104,1850,132269,1568537473,51671791,有哪些是你踏入社会才明白的道理？,7271,246140,81,1476665746
answer,16_1574824973.66,抑郁症,911877227,16,4,2,432,1574816151,53606497,抑郁症的人为什么想死，仅仅是因为内心痛苦吗？,62,92,0,1481638945
answer,17_1574824973.37,婚姻,904718093,18,56,9,36463,1574389642,342381289,女生不生孩子会有男生愿意接受吗？,883,1236,50,1566569373
answer,12_1574824974.159,By2,772588232,2052,202,282,613253,1564745527,330724801,By2 这三四年经历了什么？,71,498,4,1561217260
answer,13_1574824974.836,交友,902020187,647,129,79,502378,1574229351,290287180,你在怎样的一瞬间认清了一个人？,15890,61416,90,1534255717
answer,16_1574824974.157,旅行,668342098,32935,598,1449,1960989,1556610940,298521066,有什么事是外国人来了中国之后才知道的？,1321,18722,32,1539521922
answer,17_1574824974.592,周末,901223649,1234,232,70,228671,1574175182,35806377,双休和单休区别大吗？,749,1972,21,1442798723
answer,12_1574824974.421,上海,849555176,22056,1271,1625,613330,1570523191,264675310,上海看不起外地人的传言是真的吗？,5397,7398,139,1514333503
answer,13_1574824974.264,陈情令（电视剧）,880473374,26,53,7,18652,1572781079,332767127,博君一肖有可能在一起吗?,1620,2292,31,1561988089
answer,14_1574824974.861,婚姻,897596811,724,1010,66,230631,1573969405,339903064,哪一刻让你对婚姻死了心?,656,3076,11,1565498706
answer,15_1574824974.765,反恐精英（Counter-Strike）,839000487,171,31,10,45875,1569684166,348238923,为什么拿 CS:GO 和  CF 对比的玩家们都忽略了 CS:S?,12,22,4,1569660600
answer,16_1574824974.809,KTMR2R,850764988,13,17,4,3152,1570602096,349559716,该不该买ktm250，还是买春风250？,4,6,0,1570445294
answer,17_1574824974.73,法医,890060100,22,6,0,1421,1573453706,355025983,江苏高考新政策哪些能报法医?,2,4,0,1573297188
answer,12_1574824974.637,娱乐,887424154,248,16,39,14935,1573259999,335733020,肖战和王一博，为什么这么真？,705,2815,20,1563511541
answer,13_1574824974.518,招聘,890483594,76,36,11,24227,1573475137,324592314,为什么中公教育一直招人？,45,144,2,1557971742
answer,15_1574824974.951,心理,909511952,1,0,0,10,1574670936,357667215,看书能不能治愈？,1,2,0,1574660750
answer,16_1574824974.385,天文学,871850464,146,5,17,6609,1572168779,352471571,如何看待中国科学技术大学-紫金山天文台2.5米大视场巡天望远镜（WFST）的建设？,2,46,0,1572000608
answer,12_1574824975.220,学习,887036407,403,13,122,8716,1573216276,25038998,怎样系统地学习英语中的吞音弱读连读？,13,865,1,1409317783
answer,13_1574824975.312,女生,862279532,5522,383,2718,519779,1571449391,295512496,有哪些男生有女朋友之后才知道的事情？,7892,79004,49,1537500730
answer,14_1574824975.479,医疗,823832159,42786,3346,11572,3258910,1568477745,265259044,医院里有哪些潜规则？,597,21200,22,1515373965
answer,15_1574824975.430,高考,695506234,22729,145,17483,610753,1558843427,288806462,你有什么句子用来写作文百用不腻？,864,48500,16,1533607379
answer,17_1574824975.283,水手服,684806593,556,272,55,104561,1557969885,64498472,怎么看待胖一点的妹纸穿jk制服？,321,700,9,1503761124
answer,12_1574824975.32,大学生活,896564743,902,269,56,129626,1573894373,354879314,如何看待高校学生翻拍《Coincidance》（抖肩舞）现象的流行？,1945,8283,314,1573216941
answer,13_1574824975.856,异性,911641910,0,5,1,917,1574783320,337090932,你和异性发生过最尴尬的事有哪些？,809,3309,3,1564148265
answer,14_1574824975.702,投资,868938972,908,680,162,715071,1571937071,323401575,你在闲鱼最亏的一单是什么？,2672,7015,26,1557277594
answer,15_1574824975.768,调查类问题,795347629,6130,289,2553,378951,1566265412,27564370,如何去除鼻子上的黑头？,1361,102756,61,1421124342
answer,17_1574824975.57,恋爱,911685660,3,2,0,239,1574785769,65789152,怎样缓解对已经入伍男朋友的思念？,6,8,0,1506238497
answer,12_1574824976.792,火影忍者（动画）,861264614,853,145,105,187028,1571366112,311026160,《火影忍者》有哪些误区？,75,448,0,1549094397
answer,13_1574824976.111,人际交往,790266368,9030,699,551,901301,1565894723,312122050,有没有空姐向乘客要微信的？,589,5441,10,1550051218
